LON,LAT,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,NUMBER,HASH
-79.350372,43.6737397,Grandview Ave,,former Toronto,,,,,10,ae66c59be3f95a65
-79.3145488,43.6781719,Gerrard St E,,former Toronto,,,,,1809,13790334e9da76db
-79.4329607,43.6882805,Winnett Ave,,York,,,,,162,326ac30fe118b7ab
-79.5730779,43.6457008,Botley Rd,,Etobicoke,,,,,8,085a57a8ba5a6e06
-79.3052744,43.7684483,Carthage Ave,,Scarborough,,,,,15,f90d39fd3b98e004
-79.4881676,43.740059,Maryport Ave,,North York,,,,,32,e30b89cb72275bed
-79.4294057,43.6818182,Arlington Ave,,York,,,,,144,8ad8f662cb664e0f
-79.4250511,43.6385123,Fraser Ave,,former Toronto,,,,,80,d760ceb62562b072
-79.2751236,43.7453731,Radnor Ave,,Scarborough,,,,,19,207c3f0981762891
-79.3774862,43.7150269,Bayview Ave,,East York,,,,,1863,147f43bb3ffd7f4c
-79.3940491,43.7295084,Kappele Ave,,former Toronto,,,,,22,a5da108703f972e4
-79.3892904,43.7790271,Sumner Heights Dr,,North York,,,,,5,466053600b38e306
-79.4554627,43.6796988,McRoberts Ave,,former Toronto,,,,,156,58e0659e428372ea
-79.4147198,43.6427883,Adelaide St W,,former Toronto,,,,,911A,0634685875143df9
-79.4275753,43.6354577,Tyndall Ave,,former Toronto,,,,,27,46953110ff7e1797
-79.3290996,43.7263285,Wynford Dr,,North York,,,,,123,b7f37335cba3ec27
-79.4595137,43.7858288,Stillwater Cres,,North York,,,,,33,333a6a92f2893ab0
-79.1732229,43.8084738,Hedge End Rd,,Scarborough,,,,,29,5591d78d803fa994
-79.3234667,43.6671257,Kerr Rd,,former Toronto,,,,,64,dca010d96e6b59ef
-79.3914954,43.7392709,Knightswood Rd,,North York,,,,,31,fab7c43840e43d0d
-79.4438558,43.6834891,Westmount Ave,,York,,,,,287,4eba6d24ac1591b9
-79.368613,43.6516565,Sherbourne St,,former Toronto,,,,,56,f26e0356fecaa1da
-79.3993986,43.7953538,Newton Dr,,North York,,,,,233,92c1554e43ba0782
-79.3828474,43.739241,Bayview Ave,,North York,,,,,2438,6c5fd24aeee15b09
-79.1843677,43.7929307,Canmore Blvd,,Scarborough,,,,,7,7bfe0fe44e2eea28
-79.3085919,43.7507432,Lynvalley Cres,,Scarborough,,,,,69,54b7ae4a5b0ece99
-79.4634291,43.7047567,Glencairn Ave,,North York,,,,,1219,916f038bec4463c8
-79.2609474,43.8073128,Placentia Blvd,,Scarborough,,,,,195,4600677369f8f4ad
-79.3999596,43.6536365,Kensington Ave,,former Toronto,,,,,39,e8e8dcc42b0861fb
-79.2991699,43.7240998,Eglinton Sq,,Scarborough,,,,,34B,597112600d51bbc1
-79.5569018,43.6978457,Kingsview Blvd,,Etobicoke,,,,,66,89e5ef1f4e6119a1
-79.4061123,43.743171,Old York Mills Rd,,North York,,,,,3,5de39f776434b88d
-79.4209025,43.7859452,Rodeo Crt,,North York,,,,,14,82d922ab82b63120
-79.3814705,43.7752035,Citation Dr,,North York,,,,,82,78b41a4ea56cb9b2
-79.4458063,43.6467648,Fermanagh Ave,,former Toronto,,,,,43,b0a3e26acc048f0d
-79.2203853,43.7454185,Markham Rd,,Scarborough,,,,,276,315a6de434ba8064
-79.4943816,43.7183893,Lorne Bruce Dr,,North York,,,,,1,4d49eaf4d0cc57ac
-79.449766,43.6531975,Dundas St W,,former Toronto,,,,,2152,0eb74539014fac22
-79.3134305,43.7383198,Cobham Cres,,North York,,,,,20,1d0092934c2895fa
-79.336773,43.7466689,Three Valleys Dr,,North York,,,,,140,b27fdc49afec38b5
-79.403628,43.7956145,Maxome Ave,,North York,,,,,186,2a505ff8b21b3e98
-79.4214406,43.6701042,Yarmouth Rd,,former Toronto,,,,,50,91cc0fc762190c85
-79.3673707,43.7638005,Northey Dr,,North York,,,,,67,b66f1fe360d54dd8
-79.3401295,43.680119,Danforth Ave,,former Toronto,,,,,866,cc2e8124dbcdcf3a
-79.6035429,43.7539046,Bordeaux Crct,,Etobicoke,,,,,30,34cb4ba54d9a0ff1
-79.5232415,43.7657682,Secroft Cres,,North York,,,,,56,4b1fdc18aa08b002
-79.4805243,43.7147271,Maple Leaf Dr,,North York,,,,,438,3fb70f42021fb9f4
-79.2761213,43.8126142,Brimwood Blvd,,Scarborough,,,,,87,b34b53477af36a77
-79.1554583,43.7811877,Dunwatson Dr,,Scarborough,,,,,29,743153304121926e
-79.4268534,43.7381112,Burncrest Dr,,North York,,,,,50,db49107ed9a5a9d6
-79.5532278,43.6729576,Longfield Rd,,Etobicoke,,,,,35,1fe0f4b693c198e3
-79.5332194,43.6861745,Sellmar Rd,,Etobicoke,,,,,38,2e23b9b649016615
-79.4266178,43.7253832,Brookdale Ave,,North York,,,,,560,b342139bc7f907a3
-79.320495,43.7928964,Longford Cres,,Scarborough,,,,,71,a29e44618c235f88
-79.3640691,43.7596144,Elliotwood Crt,,North York,,,,,18,ce3a2e8065711f6e
-79.2052148,43.771484,Bow Valley Dr,,Scarborough,,,,,25,db3a9b73f312d405
-79.1402712,43.7751414,Long Island Cres,,Scarborough,,,,,100,b01e06301af58f48
-79.3063201,43.7949865,Gloxinia Cres,,Scarborough,,,,,9,9028a2efec01c1dc
